orig_sent,sent_id,simp_sent,fluency,meaning,simplicity,ref_1,bt_de,bt_zh
"Many species had vanished by the end of the nineteenth century, with European settlement.",15,"Species had vanished,.",48.53333333,40.86666667,58.4,Many species had vanished with European settlement.,Many species had disappeared with European settlements.,Many species disappear with the settlement of Europeans.
In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,16,In 1987 Wexler became part of the Rock and Roll Hall of Fame.,91.66666667,90.13333333,72.06666667,In 1987 Wexler was recognized into the Rock and Roll Hall of Fame.,"In 1987, Wexler was accepted into the Rock and Roll Hall of Fame.","In 1987, Wexler was admitted to the Rock Celebrity Hall."
"In its pure form, dextromethorphan occurs as a white powder.",17,"In its, it is a white powder.",27.26666667,25.33333333,19.4,Dextromethorphan appears as a white powder in its natural form.,Dextromethorphan appears as a white powder in its natural form.,De Tromithovan naturally appears in the form of white powder.
Admission to Tsinghua is extremely competitive.,18,Admission to Tsinghua is very competitive.,95.2,97.8,74,It is very hard to be admitted to Tsinghua.,It's very hard to be admitted to Tsinghua.,The Qinghua people are hard to accept.
"Today NRC is organised as an independent, private foundation.",19,"Today NRC is organised,.",55.33333333,30.33333333,46.2,"NRC is run as an independent, private foundation.",NRC is operated as an independent private foundation.,NRC is an independent private foundation.
"It is situated at the coast of the Baltic Sea, where it encloses the city of Stralsund.",20,"It is located at the shore of the Baltic Sea, where it is located at the shore of the borough of Stralsund.",66.6,65.8,29.46666667,It is located at the coast of the Baltic Sea and encloses the city of Stralsund.,It is located on the Baltic Sea coast and surrounds the city of Stralsund.,It lies on the Baltic coast and surrounds the city of Strasson.
"He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.",21,"1982 he was named ""Sportsman.""",55.06666667,20.93333333,24.93333333,"He was Sports Illustrated's ""Sportsman of the Year"" in 1982 .","In 1982 he was Sports Illustrated's ""Sportsman of the Year"".","In 1982, he was a sports celebrity. 1982. The Annual Sportsman."
Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,24,The National Museum of Scotland is a city of location@2 in the location@3.,41.6,16.13333333,24.46666667,Both names became unused when they joined The National Museum of Scotland.,Both names were unused when they joined the National Museum of Scotland.,Neither name was used when joining the Scottish National Museum.
"Nevertheless, Tagore emulated numerous styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.",25,"Tagore liked many styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada.",67.2,50.26666667,69.33333333,"Nevertheless, Tagore emulated numerous styles, including craftwork from northern New Ireland, Haida carvings from British Columbia, and woodcuts by Max Pechstein.","Nevertheless, Tagore emulated numerous styles, including handicrafts from North New Ireland, Haida carvings from British Columbia and woodcuts from Max Pechstein.","However, Tagore has also replicated many styles, including handicrafts from Northern New Ireland, the Haida carvings from British Columbia and the carpenters from Max Pechstein."
"On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union.",26,"On October 14, 1960, presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union.",93.33333333,97.2,29.66666667,"On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept for the Peace Corps at the Michigan Union.","On October 1, 1960, presidential candidate John F. Kennedy proposed the concept of the Michigan Union Peace Corps.","On 14 October 1960, the presidential candidate, John F. Kennedy, introduced the Michigan Union Peace Corps concept."
Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.,28,Perry Saturn (with mother) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a dive bomber elbow drop.,65.93333333,68.8,44.4,Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) in the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.,Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) at the WWF European Championship (8:10) Saturn pinned Guerrero after a jump in the elbow.,Perry Saturn (with Terri) beat Eddie Guerrero (with Chyna) in the WWF European Championship (8:10).
She remained in the United States until 1927 when she and her husband returned to France.,29,She stayed in the United States until 1927 when she was married to France.,64.53333333,26.73333333,27.46666667,She remained in the United States until returning to France with her husband in 1927.,"She remained in the United States until 1927, when she returned to France with her husband.","She remained in the United States until 1927, when she returned to France with her husband."
"Despina was discovered in late July, 1989 from the images taken by the Voyager 2 probe.",30,"Despina was discovered, 1989 from the images taken.",62.4,46.4,31.6,"In 1989, Despina was discovered from the images that were taken by the Voyager 2 probe.","In 1989, Despina was discovered from Voyager 2.","In 1989, Despina was found in images taken from the Traveller 2 probe."
The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,31,The first Italian Grand Prix motor racing open took place on 4 September 1921 at Brescia.,80.8,76.33333333,53.06666667,"The first Grand Prix championship took place on September 4, 1921 at Brescia.",==References====External links==,The first grand prize championship was held in Bresia on 4 September 1921.
He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,32,He completed the two collections of stories entitled Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,86.53333333,89.6,60.33333333,He also completed two short story collections. These were titled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,He also produced two collections of short stories titled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,He also completed two short stories entitled “Ribbbajak and other curious scenes” and “seven strange and ghost stories”.
"At the Voyager 2 images Ophelia appears as an elongated object, the major axis pointing towards Uranus.",33,"At the Voyager 2 images Ophelia appears as a stretched object, the major axis pointing towards Uranus.",76.66666667,92.6,81.4,Ophelia looks like a long item from Voyager 2 images with the large part pointing toward Uranus.,Ophelia looks like a long article by Voyager 2 pictures with the large part showing on Uranus.,Ophelia looks like a long-term object from Traveler 2 images that most point to Uranus.
The British decided to eliminate him and take the land by force.,34,The British decided to eliminate the land and take him.,73,19.4,20.46666667,The British decided to take him out and land by force.,The British decided to take him out and land by force.,The British decided to kill him by force.
"Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.",35,"Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna.",59.4,30.33333333,34.26666667,Some towns on the Eyre Highway in southeast Western Australia between Australia and Caiguna don't follow Western Australia time.,Some cities along the Eyre Highway in southeastern Western Australia between Australia and Caiguna do not follow the Western Australia period.,"Some towns do not follow Western Australian time on the Eyre highway, south-west of Western Australia, between Australia and Caigona."
"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.",36,"In a few times, some pieces of colored and inlays shell build a mosaics. This cutting is used to build decorate and create, which have been used to build walls, furniture and boxes.",49.06666667,48.4,26.53333333,"In designing small pieces of colored shells are used to make decorations which are used to decorate walls, furniture, and boxes.","When designing small pieces of colored bowls are used to decorate decorations that are used to decorate walls, furniture and boxes.","When designing small colour shells, they are used to make decorations and to decorate walls, furniture and boxes."
"The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.",37,"The other cities on the Palos Verdes Estates, Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.",53.93333333,52.06666667,44.8,"The other cities on the Peninsula are Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.","The other towns on the peninsula are Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.","The other cities on the peninsula are Rancho Palos Véndez, Rolling Hills and Rolling Hills."
"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an effort to stop Drek.",38,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous Captain Qwark, to stop Drek.",86.8,96.06666667,82.46666667,"Fearing that Drek will destroy the galaxy, a search is underway for Captain Qwark, to help stop Drek.","Fearing that Drek will destroy the galaxy, a search for Captain Qwark is underway to stop Drek.","Fearing Drake would destroy the Milky Way, he was searching for Captain Quick to help stop Drake."
He advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,40,He advocates using a user-centered design process in product development cycles and also works for popularizing trade design as a whole field.,82.2,74,63.13333333,He recommends using a user-centered design process in product development cycles and also to popularize interaction design as a mainstream discipline.,He recommends using a user-centered design process in product development cycles and popularizing interaction design as a mainstream discipline.,He suggested the use of user-centred design processes in the product development cycle and the promotion of interactive design as a mainstream discipline.
Working Group I: Assesses scientific aspects of the climate system and climate change.,42,Working Group I: Assessesses look like the climate system and climate change.,42.2,31.73333333,17.8,Working Group I: Looks at the aspects of climate change and the climate,Working Group I: Aspects of Climate Change and Climate,Working Group I: Study on climate change and climate in all its aspects
"The island chain forms part of the Hebrides, separated from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.",43,"The island chain forms part of the Hebrides. The river is most likely to be found aside from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.",68.6,66,40.06666667,The island chain is part of the Hebrides. It is separated from the Scottish mainland and from the Inner Hebrides.,The island chain is part of the Hebrides. It is separated from the Scottish mainland and the Inner Hebrides.,The chain of islands is part of the Hebridis River and is separated from the Scottish mainland and the Nehibridis River.
"As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.",48,"Even though many mosques will not follow violations, both men and women when attending a mosque must get to these rules.",61.8,60.73333333,30.4,Men and women attending a mosque must follow certain guidelines.,Men and women visiting a mosque must follow certain guidelines.,Women and men participating in mosque activities are subject to certain norms.
"Ryan Prosser (born 10 July, 1988) is a professional rugby union player for Bristol Rugby in the Guinness Premiership.",50,Ryan Prosser (born 10 July Ryan Prosser (born 10 July is a rugby union player.,40.2,55.06666667,30.06666667,"Born in 1988, Ryan Prosser is a professional rugby player. He plays for Bristol Rugby in the Guinness Premiership.","Ryan Prosser, born in 1988, is a professional rugby player. He plays for Bristol Rugby in the Guinness Premiership.","Ryan Prosser, born in 1988, is a professional football player who competes for Bristol Rugby in the post of Prime Minister in Guinness."
"Their granddaughter Hélène Langevin-Joliot is a professor of nuclear physics at the University of Paris, and their grandson Pierre Joliot, who was named after Pierre Curie, is a noted biochemist.",52,Their granddaughter Hélène Langevin-Joliot is a professor of nuclear physics at the University of Paris.,85.73333333,53.46666667,69.06666667,Their granddaughter is a professor of nuclear physics at the University of Paris and their grandson is a renowned biochemist.,Her granddaughter is Professor of Nuclear Physics at the University of Paris and her grandson is a biochemist.,"Their granddaughters are professors of nuclear physics at the University of Paris, and their grandchildren are famous biochemists."
"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.",53,This stamp remained the standard letter stamp for the remainder of Victoria's reign.,93.86666667,76.06666667,67.86666667,This remained the standard letter stamp for the rest of Victoria's reign.  Vast quantities were printed.,This remained the standard letter stamp for the rest of Victoria's reign. Large quantities were printed.,"This remains the standard stamp of the rest of Victoria's throne, with a large number of stamps."
"Aside from this, Cameron has often worked in Christian-themed productions, among them the post-Rapture films Left Behind: The Movie, Left Behind II: Tribulation Force, and Left Behind: World at War, in which he plays Cameron ""Buck"" Williams.",56,"Aside from this, Cameron has often worked in Christian-themed productions, among them the post-Rapture films Left Behind: the Movie, Left Behind II: Tribulation Force, and Left Behind: at World War, in which he plays Cameron ""Buck"" Williams.",85.4,92.46666667,27.86666667,"Cameron has often worked in Christian productions.  They include Left Behind:  The Movie, Left Behind II: Tribulation Force, and Left Behind:  World at War.","Cameron has often worked in Christian productions, including Left Behind: The Movie, Left Behind II: Tribulation Force and Left Behind: World at War.","Cameron often works in Christian works. These include Left Behind: Films, Left Behind: Triangular Force and Left Behind: World in War."
"The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.",59,The story of Christmas is based on the biblical accounts given in the Gospel of Matthew.,94.8,64.93333333,79.66666667,The story of Christmas is based on the Gospel of Matthew and Luke.,The story of Christmas is based on the Gospel of Matthew and Luke.,Christmas stories are based on Matthew and Luke's gospel.
"So far the 'celebrity' episodes have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark Chapman, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.",61,"So far the'celebrity' episodes have included Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark, Chapman Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.",88.73333333,88.66666667,39.13333333,"The 'celebrity' shows have included the following individuals: Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark Chapman, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady and Lee Ryan.","""Celebrity"" shows include Vic Reeves, Nancy Sorrell, Gaby Roslin, Scott Mills, Mark Chapman, Simon Gregson, Sue Cleaver, Carol Thatcher, Paul O'Grady, and Lee Ryan.","The “Guests” programme included the following persons: Vic Reeves, Nancy Sawyer, Gaby Rosling, Scott Mills, Mark Chapman, Simon Grayson, Su Cleves, Carol Socher, Paul O'Grady and Lee Ryan."
"Gomaespuma was a Spanish radio show, hosted by Juan Luis Cano and Guillermo Fesser.",63,Gomaespuma was a Spanish radio show.,98,62.86666667,75.66666667,Gomaespuma was a Spanish radio show.  It was hosted by Juan Luis Cano and Guillermo Fesser.,Gomaespuma was a Spanish radio show moderated by Juan Luis Cano and Guillermo Fesser.,Gomaespuma is a Spanish radio programme sponsored by Juan Luis Cano and Guillermo Fesser.
He is also a member of another Jungiery boyband 183 Club.,65,Total number@2 number@3 number@4 number@5 number@6,13.8,7.933333333,5.533333333,"He's also a member of another Jungiery boyband, 183 Club.","He is also a member of another Jungiery Boyband, 183 Club.","He's also a member of the 183rd Club, another jungle boy band."
"In return, Rollo swore fealty to Charles, converted to Christianity, and undertook to defend the northern region of France against the incursions of other Viking groups.",67,"In return, Rollo swore fealty to Charles, converted to Christianity, and set out to defend the north of France from the raids of other Viking groups.",87.86666667,96.46666667,90.93333333,"In return, Rollo swore fealty to Charles, converted to Christianity, and began defending the northern region of France against the incursions of other Viking groups.","In return, Rollo Charles vowed allegiance, converted to Christianity, and began to defend the northern region of France against the invasions of other Viking groups.","In return, Rolo pledged allegiance to Charles, converted to Christianity and began defending northern France against incursions by other Viking groups."
"Disney received a full-size Oscar statuette and seven miniature ones, presented to him by 10-year-old child actress Shirley Temple.",69,Disney received a full-size Oscar statuette and seven miniature ones.,97.26666667,65.2,67.4,Disney got a full-size Oscar statue and seven little ones given to him by 10 year old actress Shirley Temple.,Disney got an Oscar statue in full size and seven small ones that were given to him by 10-year-old actress Shirley Temple.,Disney got a full-scale Oscar statue and seven small statues to give him 10-year-old actress Sherry Temple.
It was the first asteroid to be discovered by a spacecraft.,70,It was the first asteroid to be found by a ship.,98.13333333,67.66666667,67.33333333,It was the first asteroid found by a spaceship.,It was the first asteroid to be found by a spaceship.,This is the first asteroid to be discovered by a spaceship.
"Hinterrhein is an administrative district in the canton of Graubünden, Switzerland.",71,Hinterrhein is a district of the canton of Graubünden in Switzerland.,86.13333333,85.6,68.33333333,"Hinterrhein is a leading district in the place of Graubünden, Switzerland.","Hinterrhein is a leading district in Graubünden, Switzerland.","Hinterrhein is the leading area in Graubünden, Switzerland."
It continues as the Bohemian Switzerland in the Czech Republic.,72,It continues.,87.73333333,4.466666667,17.33333333,It goes on as the Bohemian Switzerland in the Czech Republic.,It goes further than Bohemian Switzerland in the Czech Republic.,It continues to be the Bohemia Switzerland of the Czech Republic.
"This leads to consumer confusion when 220 (1,048,576) bytes is referenced as 1 MB (megabyte) instead of 1 MiB.",73,"This leads to consumer confusion when 220 (1,048,576) bytes is referenced as 1 MB.",81.53333333,71.73333333,69.2,People get confused when the term MB is used instead of MiB.,People get confused when the term MB is used instead of MiB.,People are confused when using the term MB instead of MIB.
They are castrated so that the animal may be more docile or may put on weight more quickly.,75,They are castrated so that the animal can be more docile is put on weight more quickly.,59.26666667,57.66666667,27.66666667,The animals are castrated so they become more calm and put on weight.,The animals are castrated so that they become calmer and gain weight.,"When the animals are cut, they become more calm and heavier."
"Seventh sons have strong ""knacks"" (specific magical abilities), and seventh sons of seventh sons are both extraordinarily rare and powerful.",76,"His sons have strong ""knacks (specific magical abilities), and seventh sons of her sons are very rare and powerful.",77.13333333,36.86666667,45.4,"Seventh sons have magical abilities, and seventh sons of seven sons are even more powerful.","Seven sons have magical abilities, and seven sons of seven are even more powerful.","Seven sons have magic powers, seven sons and seven sons are stronger."
"Benchmarking conducted by PassMark Software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory utilization.",77,"Benchmarking started by PassMark Software in the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory use.",64.06666667,77.13333333,62.13333333,"Benchmarking done by PassMark Software highlights the 2009 version's 52 second install time, 32 second scan time, and 7 MB memory utilization.","Benchmarking performed by PassMark Software shows the 2009 version 52 second installation time, 32 second scan time and 7 MB memory usage.","Benchmarking using the pass software highlighted 52 installation times, 32 scanning times and 7 MB memory utilization rates in the 2009 version."
Volterra is a town in the Tuscany region of Italy.,78,Volterra is a town in the region of Tuscany Italy.,93.73333333,83.13333333,45.6,Volterra is an Italian town in the Tuscany region.,Volterra is an Italian town in Tuscany.,Volterra is an Italian town in the Toscany region.
"Historically, the sensations of itch and pain have not been considered to be independent of each other until recently, where it was found that itch has several features in common with pain, but exhibits notable differences.",79,", the sensations have been considered to be, it was found that itch has features in, but exhibits differences.",17.6,22,14.8,"Historically, the sensations of itch and pain have not been considered to be independent of each other until recently. It was found that itch has several features in common with pain, but exhibits notable differences.","Historically, the sensations of itching and pain were not considered to be independent until recently. It was found that itching has several characteristics that are in common with pain, but have remarkable differences.","Historically, it was not until recently that itch and pain senses were seen as separate from each other, and it was found that itch and pain had several characteristics in common, but that there were significant differences."
"The tongue is sticky because of the presence of glycoprotein-rich mucous, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",80,"The sticky tongue is because of the presence of mucous glycoprotein-rich, which both lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",86.46666667,82.53333333,34.8,"The tongue is sticky because of the presence of glycoprotein-rich mucous. This lubricates movement in and out of the snout and helps to catch ants and termites, which adhere to it.",The tongue is sticky because of the presence of glycoprotein-rich mucus. This lubricates movement in and out of the muzzle and helps catch ants and termites that adhere to it.,"This lubricant, in and out of the nasal cavity, helps to capture strong ants and termites."
The same tram had derailed on 30 May 2006 at Starr Gate loop during previous trials.,81,The same tram had derailed on 30 May 2006 at Starr Gate loop in past tests.,89.06666667,93,81.06666667,The same tram had derailed on 30 May 2006 at during previous trials.,The same tramway had derailed on 30 May 2006 in previous trials.,"On 30 May 2006, the same tram was derailed in previous trials."
"There are statues of Sir Alf Ramsey and Sir Bobby Robson, both former Ipswich Town and England managers, outside the ground.",82,There are many statues of Sir Alf Ramsey and Sir Bobby Robson. There are many former Ipswich Town in England.,57.93333333,37.66666667,31.93333333,There are statues of former Ipswich Town and England managersSir Alf Ramsey and Sir Bobby Robson outside the ground.,There are statues of former Ipswich Town and England managersSir Alf Ramsey and Sir Bobby Robson outside the ground.,"The statues of Sir Alf Ramzi and Sir Bobby Robson, former managers of the town of Ipswich and England, are outside the ground."
Take the square root of the variance.,83,The square root of the variance is the ###eos###.,32.86666667,35,15.33333333,Take the variance's square root.,Take the square root of the variance.,By the square root of the difference.
"Volunteers provided food, blankets, water, children's toys, massages, and a live rock band performance for those at the stadium.",84,"Volunteers given food, blankets, water, children's toys, massages, and a live rock band return for those at the stadium.",64.93333333,46.26666667,25.93333333,"Volunteers provided food, blankets, water, toys, massages, and a rock performance for those at the stadium.","Volunteers provided food, blankets, water, toys, massages and a rock performance for those in the stadium.","Volunteers provide people on the stadium with food, blankets, water, toys, massages and rock shows."
Vouvray-sur-Huisne is a commune in the Sarthe department in the region of Pays-de-la-Loire in northwestern France.,85,It is found in the region Pays de la location@4 in the Sarthe department in the west of France.,74.4,29.33333333,21.8,Vouvray-sur-Huisne is a place people work together in the Sarthe place of Pays-de-la-Loire in northwestern France.,Vouvray-sur-Huisne is a place where people in northwestern France work together in Sarthe of Pays-de-la-Loire.,Vouvray-sur-Huisne is where a family of Sarthe Pays-de-la-Louire works in the north-west of France.
"If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road, and the bypass may eventually become as congested as the local streets it was intended to avoid.",86,"If there are no strong land use controls, buildings are built along a bypass, converting it into an ordinary town road.",78.4,64.33333333,78.4,Buildings are built along a road that goes over other roads if not controlled and may become busy anyway.,Buildings are built along a road that goes across other roads if they are not controlled and can still be employed.,"The building is built on one road, which, if uncontrolled, crosses other roads and becomes busy anyway."
"It is also a starting point for people wanting to explore Cooktown, Cape York Peninsula, and the Atherton Tableland.",87,"It is also a starting point for people wanting to see Cooktown, Cape York Peninsula, and the Atherton Tableland.",98.8,95,72.53333333,"It is the start for people looking at Cooktown, Cape York Peninsula, and the Atherton Tableland.","It's the beginning for people looking at Cooktown, Cape York Peninsula and Atherton Tableland.","This is the starting point for observing Kucton, Cape York Peninsula and the Asserton table."
"None of the authors, contributors, sponsors, administrators, vandals, or anyone else connected with Wikipedia, in any way whatsoever, can be responsible for your use of the information contained in or linked from these web pages.",89,"None contributors,,,, sponsors or administrators Vandals, anyone else connected,, can be for your use of the information or contained in linked.",25.2,22.86666667,15.53333333,None of the people connected with Wikipedia in any way can be responsible for how you use the information you learn here.,None of the people associated with Wikipedia in any way can be responsible for how you use the information you learn here.,People with any connection to Wikipedia can't be responsible for how to use the information you've learned here.
"George Frideric Handel also served as Kapellmeister for George, Elector of Hanover (who eventually became George I of Great Britain).",90,"George Frideric Handel also served as Kapellmeister for George, Elector of Hanover, who later became George I of Great Britain.",81.8,97,74.66666667,"George Frideric Handel also served as Kapellmeister for George, Elector of Hanover.","George Frideric Handel was also Kapellmeister for George, Elector of Hanover.",George Friedric Handel also served as Kapellmeister (Hanover elector) of George Hannover.
"Their eyes are quite small, and their visual acuity is poor.",91,"Their eyes are small, and the visual acuity is poor.",85,83.2,54.86666667,"Their eyes are small, and their visual acuity is poor.","Her eyes are small, and her visual acuity is poor.",Their eyes are small and their eyes are poor.
Oregano is an indispensable ingredient in Greek cuisine.,93,Oregano is a vital element in Greek cuisine.,94.73333333,94.73333333,86.13333333,Oregano is an essentlal ingredient in Greek cooking.,Oregano is an essential ingredient in Greek cuisine.,Oregano is the food and accommodation component of Greek cooking.
"Tickets can be retailed for National Rail services, the Docklands Light Railway and on Oyster card.",94,"Tickets can be retailed for National Rail services, the Docklands Light Rail and on Oyster card.",61.46666667,86.66666667,50.8,"Tickets can be purchased for National Rail services, the Docklands Light Railway or an Oyster card.","Tickets can be purchased for National Rail Services, the Docklands Light Railway or an Oyster Card.","National railway service tickets, dock light railways or oyster cards can be purchased."
"These works he produced and published himself, whilst his much larger woodcuts were mostly commissioned work.",95,These works he made and published himself and his much larger woodcuts were written work.,72.6,41.46666667,49.93333333,Some works he made himself.  His larger woodcuts were commissioned.,Some works he made himself. His larger woodcuts were commissioned.,Some of his own work. His big carpenter was commissioned.
